PropertyNamespacePrefix,PropertyName,QualifiedProperty,IsElement,IsAbstract,Keywords,ExampleContent,UsageInfo,Definition,TypeNamespacePrefix,TypeName,QualifiedType,SubstitutionGroupPropertyNamespacePrefix,SubstitutionGroupPropertyName,SubstitutionGroupQualifiedProperty
j,ActivitySanctionAssociation,j:ActivitySanctionAssociation,TRUE,FALSE,,,,An association between an activity and a sanction.,j,ActivitySanctionAssociationType,j:ActivitySanctionAssociationType,,,
j,ActivitySanctionAssociationAugmentationPoint,j:ActivitySanctionAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivitySanctionAssociationType.,,,,,,
nc,ActivityScheduleAssociation,nc:ActivityScheduleAssociation,TRUE,FALSE,,,,An association between an activity and its schedule.,nc,ActivityScheduleAssociationType,nc:ActivityScheduleAssociationType,,,
nc,ActivityScheduleAssociationAugmentationPoint,nc:ActivityScheduleAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivityScheduleAssociationType.,,,,,,
j,ActivityScheduledDate,j:ActivityScheduledDate,TRUE,FALSE,,,,A date when an activity is scheduled.,nc,DateType,nc:DateType,,,
j,ActivitySentenceComputationAssociation,j:ActivitySentenceComputationAssociation,TRUE,FALSE,,,,A relationship between an activity and a sentence computation.,j,ActivitySentenceComputationAssociationType,j:ActivitySentenceComputationAssociationType,,,
j,ActivitySentenceComputationAssociationAugmentationPoint,j:ActivitySentenceComputationAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivitySentenceComputationAssociationType.,,,,,,
j,ActivitySequenceNumeric,j:ActivitySequenceNumeric,TRUE,FALSE,,,,A numerical identifier across multiple activities to define the order that they should be scheduled and undertaken.,nc,NumericType,nc:NumericType,,,
j,ActivityServiceCallAssociation,j:ActivityServiceCallAssociation,TRUE,FALSE,,,,An association between an activity and a service call.,j,ActivityServiceCallAssociationType,j:ActivityServiceCallAssociationType,,,
j,ActivityServiceCallAssociationAugmentationPoint,j:ActivityServiceCallAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for ActivityServiceCallAssociationType.,,,,,,
j,ActivitySignature,j:ActivitySignature,TRUE,FALSE,,,,A signature associated with an activity event.,j,SignatureType,j:SignatureType,,,
nc,ActivitySiteAssociation,nc:ActivitySiteAssociation,TRUE,FALSE,,,,An association between an activity and a site.,nc,ActivitySiteAssociationType,nc:ActivitySiteAssociationType,,,
nc,ActivitySiteAssociationAugmentationPoint,nc:ActivitySiteAssociationAugmentationPoint,TRUE,TRUE,,,,An augmentation point for nc:ActivitySiteAssociationType.,,,,,,
scr,ActivitySiteID,scr:ActivitySiteID,TRUE,FALSE,,,,An identifier for the site where the information was collected.,niem-xs,string,niem-xs:string,,,
nc,ActivityStatus,nc:ActivityStatus,TRUE,FALSE,,,,A status of an activity.,nc,StatusType,nc:StatusType,,,
j,ActivitySubjectAssociation,j:ActivitySubjectAssociation,TRUE,FALSE,,,,An association between an activity and a subject.,j,ActivitySubjectAssociationType,j:ActivitySubjectAssociationType,,,
