TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
cyfs,AssessmentOutcomeType,cyfs:AssessmentOutcomeType,CCC,FALSE,FALSE,FALSE,,,,A data type for the outcome of an assessment.,,,,nc,ActivityType,nc:ActivityType
cyfs,AssessmentRecommendationType,cyfs:AssessmentRecommendationType,CCC,FALSE,FALSE,FALSE,,,,A data type for the recommendation of an assessment.,,,,nc,ActivityType,nc:ActivityType
cyfs,AssessmentRecommendedCourseOfActionCategoryCodeSimpleType,cyfs:AssessmentRecommendedCourseOfActionCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for describing a course of action.,cyfs,AssessmentRecommendedCourseOfActionCategoryCodeType,cyfs:AssessmentRecommendedCourseOfActionCategoryCodeType,,,
cyfs,AssessmentRecommendedCourseOfActionCategoryCodeType,cyfs:AssessmentRecommendedCourseOfActionCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for describing courses of action.,,,,,,
cyfs,AssessmentRecommendedCourseOfActionType,cyfs:AssessmentRecommendedCourseOfActionType,CCC,FALSE,FALSE,FALSE,,,,A data type for an action.,,,,nc,ActivityType,nc:ActivityType
nc,AssessmentType,nc:AssessmentType,CCC,FALSE,FALSE,FALSE,,,"Within the justice domain, examples assessments include: gambling, psychological, chemical dependency, psycho-sexual assessments.  These evaluations are frequently done in the context of pre-plea and pre-sentencing investigations (PSI).","A data type for an evaluation, appraisal, or assessment of something or someone.",,,,nc,ActivityType,nc:ActivityType
ip,AssetCategoryType,ip:AssetCategoryType,CCC,FALSE,FALSE,FALSE,,,,A data type for a kind of asset.,,,,,,
ip,AssetStatusCodeSimpleType,ip:AssetStatusCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a status of an asset.,ip,AssetStatusCodeType,ip:AssetStatusCodeType,,,
ip,AssetStatusCodeType,ip:AssetStatusCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a status of an asset.,,,,,,
ip,AssetType,ip:AssetType,CCC,FALSE,FALSE,FALSE,,,,A data type for an asset in an infrastructure.,,,,,,
j,AssignmentAssessmentAssignmentRequestType,j:AssignmentAssessmentAssignmentRequestType,CCC,FALSE,FALSE,FALSE,,,,A data type for an initial request for assignment.,,,,nc,ActivityType,nc:ActivityType
