TypeNamespacePrefix,TypeName,QualifiedType,PropertyNamespacePrefix,PropertyName,QualifiedProperty,MinOccurs,MaxOccurs,Definition,SequenceNumber
cyfs,AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryType,cyfs,AbuseNeglectHarmAgeText,cyfs:AbuseNeglectHarmAgeText,0,unbounded,,1
cyfs,AbuseNeglectInjuryType,cyfs:AbuseNeglectInjuryType,cyfs,AbuseNeglectInjuryAugmentationPoint,cyfs:AbuseNeglectInjuryAugmentationPoint,0,unbounded,,9999
j,AcademicAssessmentType,j:AcademicAssessmentType,j,AcademicAssessmentEducation,j:AcademicAssessmentEducation,0,unbounded,,10
j,AcademicAssessmentType,j:AcademicAssessmentType,j,AcademicAssessmentGradePointLevelNumeric,j:AcademicAssessmentGradePointLevelNumeric,0,unbounded,,10
j,AcademicAssessmentType,j:AcademicAssessmentType,j,AcademicRecord,j:AcademicRecord,0,unbounded,,10
j,AcademicAssessmentType,j:AcademicAssessmentType,j,AcademicSubjectMatter,j:AcademicSubjectMatter,0,unbounded,,10
j,AcademicAssessmentType,j:AcademicAssessmentType,j,AcademicTestText,j:AcademicTestText,0,unbounded,,10
j,AcademicAssessmentType,j:AcademicAssessmentType,j,AcademicAssessmentAugmentationPoint,j:AcademicAssessmentAugmentationPoint,0,unbounded,,9999
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordExpelledFromSchoolIndicator,j:AcademicRecordExpelledFromSchoolIndicator,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordDiplomaDescriptionText,j:AcademicRecordDiplomaDescriptionText,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordUnitsTotalNumeric,j:AcademicRecordUnitsTotalNumeric,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordYearDate,j:AcademicRecordYearDate,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordRecordedDate,j:AcademicRecordRecordedDate,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordDiplomaReceivedDate,j:AcademicRecordDiplomaReceivedDate,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordCreditsEarnedNumeric,j:AcademicRecordCreditsEarnedNumeric,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordCreditsNeededNumeric,j:AcademicRecordCreditsNeededNumeric,0,unbounded,,10
j,AcademicRecordType,j:AcademicRecordType,j,AcademicRecordAugmentationPoint,j:AcademicRecordAugmentationPoint,0,unbounded,,9999
j,AcademicSubjectMatterType,j:AcademicSubjectMatterType,j,AcademicSubjectMatterName,j:AcademicSubjectMatterName,0,unbounded,,10
